# File Format Version = 2
# File Timestamp = 1/23/2018 11:47:46 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-23-110231.92.buf
# Measurement ID = 69
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

240,151.040,MidAir,2235.99874,4.68693,89.50000,138.02726,148.91397
241,151.444,MidAir,2740.07046,5.45627,90.50000,144.95056,150.30553
242,152.468,Alpha,2394.78079,5.05229,88.00000,139.83901,152.22003
243,152.837,Alpha,2436.00546,4.73515,87.50000,147.53787,150.40542
244,155.602,Alpha,2330.14021,4.75681,89.50000,145.09371,153.87404
245,156.358,Alpha,2219.72329,4.71020,85.00000,136.54097,149.18573
246,156.854,MidAir,2306.62881,4.68530,92.00000,143.08949,150.65550
247,157.274,MidAir,2303.28010,4.65085,88.50000,141.42589,148.27314
248,157.337,Alpha,2365.35277,4.78024,89.50000,144.75078,152.20495
249,157.527,Alpha,2307.65895,4.63323,91.00000,146.00095,152.69328
250,157.691,Alpha,2308.90423,5.05986,82.50000,134.19620,150.54392
251,158.538,MidAir,2269.88344,4.74432,88.00000,137.10806,147.76875
252,158.686,MidAir,2202.35610,4.60862,90.50000,138.61075,149.27487
253,158.865,Alpha,2456.00670,4.98371,87.50000,144.65367,152.72360
254,159.546,Alpha,2432.73928,4.86170,89.00000,144.95974,150.83895
255,160.021,MidAir,2223.89340,4.57533,90.50000,140.79000,149.81506
256,160.064,Alpha,1914.76534,3.82746,84.50000,145.28116,151.75080
257,160.473,Alpha,2326.76991,4.69340,89.50000,145.03619,152.16182
258,160.613,Alpha,2451.34978,4.79740,87.00000,148.41571,152.19067
259,160.775,Alpha,2404.85884,4.81033,89.50000,146.90252,153.26936
260,161.212,Alpha,2235.46035,4.44993,85.50000,146.34830,152.26324
261,164.291,Alpha,2304.77321,4.63770,88.50000,146.58688,153.72489
262,165.027,Alpha,2397.07039,4.85463,88.00000,144.46504,152.20473
263,167.111,Alpha,2205.55015,4.58430,78.50000,135.37574,145.30851
264,168.245,MidAir,2255.86031,4.90701,91.00000,134.97182,149.85725
265,168.264,MidAir,2218.03217,4.75144,91.00000,136.64841,149.88860
266,170.200,Alpha,2289.30271,4.61534,89.00000,145.14674,152.37121
267,170.264,Alpha,2428.77332,4.85947,88.00000,145.81929,152.06600
268,170.842,Alpha,2209.84706,4.87431,89.50000,136.09796,153.36581
